
2022/09/11 (20:37:58) | ===> btop++ v.1.2.9
2022/09/11 (20:37:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/09/20 (03:21:41) | ===> btop++ v.1.2.9
2022/09/20 (03:21:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/09/22 (22:05:34) | ===> btop++ v.1.2.9
2022/09/22 (22:05:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/16 (00:38:50) | ===> btop++ v.1.2.12
2022/10/16 (00:38:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/18 (19:02:55) | ===> btop++ v.1.2.12
2022/10/18 (19:02:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/19 (00:26:39) | ===> btop++ v.1.2.12
2022/10/19 (00:26:39) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/19 (08:30:37) | ===> btop++ v.1.2.12
2022/10/19 (08:30:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/19 (08:31:01) | ===> btop++ v.1.2.12
2022/10/19 (08:31:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/19 (17:59:59) | ===> btop++ v.1.2.12
2022/10/19 (17:59:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/19 (18:00:53) | ===> btop++ v.1.2.12
2022/10/19 (18:00:53) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/19 (18:12:11) | ===> btop++ v.1.2.12
2022/10/19 (18:12:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/19 (20:55:19) | ===> btop++ v.1.2.12
2022/10/19 (20:55:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/20 (00:29:04) | ===> btop++ v.1.2.12
2022/10/20 (00:29:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/25 (14:09:10) | ===> btop++ v.1.2.12
2022/10/25 (14:09:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/25 (14:09:38) | ===> btop++ v.1.2.12
2022/10/25 (14:09:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/26 (14:16:31) | ===> btop++ v.1.2.12
2022/10/26 (14:16:31) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/27 (12:26:35) | ===> btop++ v.1.2.12
2022/10/27 (12:26:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/27 (17:42:59) | ===> btop++ v.1.2.12
2022/10/27 (17:42:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/30 (15:31:43) | ===> btop++ v.1.2.12
2022/10/30 (15:31:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/30 (15:35:47) | ===> btop++ v.1.2.12
2022/10/30 (15:35:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/30 (15:49:11) | ===> btop++ v.1.2.12
2022/10/30 (15:49:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/30 (15:53:51) | ===> btop++ v.1.2.12
2022/10/30 (15:53:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/10/31 (10:39:54) | ===> btop++ v.1.2.12
2022/10/31 (10:39:54) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/01 (19:05:55) | ===> btop++ v.1.2.12
2022/11/01 (19:05:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/01 (19:07:57) | ===> btop++ v.1.2.12
2022/11/01 (19:07:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/01 (20:04:01) | ===> btop++ v.1.2.12
2022/11/01 (20:04:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/01 (22:43:33) | ===> btop++ v.1.2.12
2022/11/01 (22:43:33) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/01 (22:49:53) | ===> btop++ v.1.2.12
2022/11/01 (22:49:53) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/02 (13:10:26) | ===> btop++ v.1.2.12
2022/11/02 (13:10:26) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/02 (18:29:47) | ===> btop++ v.1.2.12
2022/11/02 (18:29:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/03 (09:03:46) | ===> btop++ v.1.2.12
2022/11/03 (09:03:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

